,cena,czynsz,forma_wlasnosci,liczba_pieter,liczba_pokoi,material_budynku,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rynek,stan_wykonczenia,wiek
907,397440.0,690.0,spoldzielcze_wlasnosciowe,18,3,beton,miejskie,plastikowe,11.0,62.1,blok,wtorny,do_zamieszkania,39
908,599000.0,350.0,pelna_wlasnosc,2,2,beton,miejskie,plastikowe,1.0,72.0,blok,wtorny,do_zamieszkania,39
909,234000.0,350.0,spoldzielcze_wl._z_kw,5,2,beton,miejskie,plastikowe,2.0,38.6,blok,wtorny,do_remontu,59
910,299000.0,570.0,spoldzielcze_wl._z_kw,10,4,beton,miejskie,plastikowe,9.0,79.73,blok,wtorny,do_zamieszkania,39
911,280611.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,49.23,apartamentowiec,pierwotny,do_wykonczenia,0
912,400000.0,150.0,pelna_wlasnosc,2,2,pustak,gazowe,plastikowe,1.0,47.17,apartamentowiec,wtorny,do_zamieszkania,4
913,280554.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,49.22,apartamentowiec,pierwotny,do_wykonczenia,0
914,370000.0,350.0,pelna_wlasnosc,14,3,beton,miejskie,plastikowe,11.0,59.0,blok,wtorny,do_zamieszkania,39
915,229952.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,35.93,apartamentowiec,pierwotny,do_wykonczenia,0
916,260246.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,44.87,apartamentowiec,pierwotny,do_wykonczenia,0
917,395000.0,500.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,5.0,52.39,apartamentowiec,wtorny,do_zamieszkania,5
918,251433.0,350.0,pelna_wlasnosc,4,2,inne,miejskie,plastikowe,0.0,39.91,apartamentowiec,wtorny,do_wykonczenia,39
919,305220.0,350.0,pelna_wlasnosc,4,3,inne,miejskie,plastikowe,0.0,50.87,apartamentowiec,wtorny,do_wykonczenia,39
920,309824.0,350.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,1.0,60.16,blok,pierwotny,do_wykonczenia,0
921,255000.0,660.0,spoldzielcze_wlasnosciowe,4,3,beton,miejskie,plastikowe,4.0,57.9,blok,pierwotny,do_zamieszkania,43
922,270592.0,350.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,0.0,42.28,apartamentowiec,pierwotny,do_wykonczenia,0
923,365753.0,350.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,1.0,71.02,blok,pierwotny,do_wykonczenia,0
924,205000.0,400.0,spoldzielcze_wlasnosciowe,4,2,inne,miejskie,plastikowe,0.0,48.0,blok,wtorny,do_remontu,44
925,256679.0,350.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,2.0,48.43,blok,pierwotny,do_wykonczenia,0
926,320000.0,450.0,pelna_wlasnosc,4,4,cegla,miejskie,plastikowe,1.0,86.0,kamienica,wtorny,do_zamieszkania,39
927,295000.0,380.0,pelna_wlasnosc,4,3,beton,miejskie,plastikowe,4.0,45.39,blok,wtorny,do_zamieszkania,49
928,160000.0,350.0,pelna_wlasnosc,10,1,beton,miejskie,plastikowe,1.0,21.3,blok,wtorny,do_zamieszkania,39
929,251433.0,100.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,0.0,39.91,apartamentowiec,pierwotny,do_wykonczenia,1
930,220000.0,200.0,spoldzielcze_wlasnosciowe,11,2,beton,miejskie,plastikowe,9.0,40.0,blok,wtorny,do_zamieszkania,39
931,249000.0,450.0,pelna_wlasnosc,18,2,beton,miejskie,plastikowe,10.0,51.0,blok,wtorny,do_zamieszkania,39
932,649000.0,1000.0,pelna_wlasnosc,4,7,inne,miejskie,drewniane,2.0,233.0,kamienica,wtorny,do_remontu,119
933,225000.0,700.0,spoldzielcze_wlasnosciowe,8,2,beton,miejskie,plastikowe,7.0,48.65,blok,wtorny,do_zamieszkania,39
934,419000.0,400.0,spoldzielcze_wl._z_kw,4,3,cegla,miejskie,plastikowe,4.0,70.1,blok,wtorny,do_zamieszkania,39
935,329000.0,600.0,pelna_wlasnosc,4,3,beton,miejskie,plastikowe,2.0,62.07,blok,wtorny,do_zamieszkania,39
936,160000.0,350.0,pelna_wlasnosc,10,1,beton,miejskie,plastikowe,8.0,32.0,blok,wtorny,do_zamieszkania,39
937,124000.0,350.0,pelna_wlasnosc,2,1,cegla,elektryczne,plastikowe,1.0,38.8,blok,wtorny,do_zamieszkania,39
938,492379.0,350.0,pelna_wlasnosc,2,4,pustak,miejskie,plastikowe,2.0,77.54,blok,pierwotny,do_wykonczenia,0
939,359229.0,350.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,2.0,58.89,blok,pierwotny,do_wykonczenia,0
940,208128.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,7.0,32.52,apartamentowiec,pierwotny,do_wykonczenia,0
941,409000.0,350.0,pelna_wlasnosc,2,3,cegla,gazowe,plastikowe,1.0,94.0,blok,wtorny,do_zamieszkania,7
942,170000.0,430.0,pelna_wlasnosc,3,3,cegla,miejskie,plastikowe,0.0,56.0,kamienica,wtorny,do_remontu,69
943,345000.0,166.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,0.0,61.2,apartamentowiec,wtorny,do_zamieszkania,6
944,295000.0,350.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,2.0,46.04,blok,wtorny,do_zamieszkania,1
945,608000.0,350.0,pelna_wlasnosc,7,3,pustak,miejskie,plastikowe,6.0,64.7,apartamentowiec,pierwotny,do_wykonczenia,-2
946,169000.0,300.0,pelna_wlasnosc,4,1,cegla,miejskie,plastikowe,4.0,35.35,blok,wtorny,do_remontu,49
947,625000.0,600.0,pelna_wlasnosc,8,4,pustak,miejskie,plastikowe,7.0,76.87,apartamentowiec,wtorny,do_zamieszkania,2
948,375000.0,475.0,pelna_wlasnosc,3,3,cegla,elektryczne,plastikowe,1.0,86.0,kamienica,wtorny,do_wykonczenia,39
949,750000.0,400.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,2.0,70.0,apartamentowiec,wtorny,do_zamieszkania,9
950,510000.0,350.0,pelna_wlasnosc,7,3,pustak,miejskie,plastikowe,5.0,55.44,apartamentowiec,pierwotny,do_wykonczenia,-2
